Timestamp (s),Motor ID,CAN ID,Target RPM,Raw Frame (Hex)
6.608,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
6.608,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
6.608,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
6.608,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
6.806,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
6.806,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
6.806,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
6.806,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
7.006,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
7.006,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
7.006,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
7.006,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
7.189,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
7.189,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
7.189,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
7.189,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
7.356,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
7.356,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
7.356,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
7.356,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
7.554,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
7.554,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
7.554,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
7.554,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
7.737,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
7.737,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
7.737,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
7.737,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
7.920,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
7.920,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
7.920,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
7.920,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
8.106,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
8.106,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
8.106,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
8.106,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
8.314,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
8.314,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
8.314,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
8.314,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
8.501,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
8.501,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
8.501,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
8.501,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
8.689,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
8.689,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
8.689,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
8.689,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
8.879,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
8.879,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
8.879,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
8.879,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
9.067,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
9.067,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
9.067,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
9.067,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
9.256,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
9.256,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
